marker,pvalue
Bcells_pERK1-2_LPS,0.985649372213776
Bcells_pERK1-2_IL246,0.163626184511575
Bcells_pERK1-2_IL18,0.571675662319792
Bcells_pSTAT6_Unstim,0.310449032807584
Bcells_pSTAT6_IL246,0.254617668763885
Bcells_pPLCg1_Unstim,0.0209820195238509
Bcells_pPLCg1_LPS,0.448783458255733
Bcells_pPLCg1_IL246,0.451180943658404
Bcells_pPLCg1_IL18,0.172253248900255
Bcells_CXCR4_Unstim,0.815118054294526
Bcells_CXCR4_LPS,0.402375552868681
Bcells_CXCR4_IL246,0.928339604900944
Bcells_CXCR4_IL18,0.56625236764081
Bcells_CD62L_Unstim,0.480509810037815
Bcells_CD62L_IL246,0.765869777407176
Bcells_CD62L_IL18,0.0467517489207673
Bcells_HK2_Unstim,0.277831102677552
Bcells_HK2_LPS,0.647193494659962
Bcells_HK2_IL246,0.799639305033235
Bcells_HK2_IL18,0.61874118801312
Bcells_CD63_Unstim,0.740749298988668
Bcells_CD63_IL18,0.458581146327792
Basophil_VDAC1_Unstim,0.732539435244884
Basophil_VDAC1_LPS,0.59915594767634
Basophil_VDAC1_IL246,0.136511456059253
Basophil_VDAC1_IL18,0.211634227547474
Basophil_GLUT1_Unstim,0.182524319068546
Basophil_GLUT1_LPS,0.655833259247299
Basophil_GLUT1_IL246,0.805821730486154
Basophil_GLUT1_IL18,0.460843027613501
Basophil_CPT1a_Unstim,0.0882410028658513
Basophil_CPT1a_LPS,0.205845296807912
Basophil_CPT1a_IL246,0.116682910645606
Basophil_CPT1a_IL18,0.632899442688019
Basophil_pCREB_Unstim,0.0385945648277183
Basophil_pCREB_LPS,0.536873794094181
Basophil_pCREB_IL246,0.270812774448875
Basophil_pCREB_IL18,0.348597634878121
Basophil_pSTAT5_Unstim,0.00858699718109743
Basophil_pSTAT5_IL246,0.925163855138325
Basophil_pP38_Unstim,0.0678438658285208
Basophil_pP38_LPS,0.0143569821156289
Basophil_pP38_IL18,0.622210694687573
Basophil_pSTAT1_Unstim,1
Basophil_pSTAT3_Unstim,0.0471462498676074
Basophil_pSTAT3_IL246,0.762820710810605
Basophil_prpS6_Unstim,0.231258837850197
Basophil_prpS6_LPS,0.8494181952811
Basophil_prpS6_IL246,0.105057998428487
Basophil_prpS6_IL18,0.382467011130968
Basophil_PD-L1_Unstim,0.127288491640477
Basophil_PD-L1_LPS,0.610313217181188
Basophil_PD-L1_IL246,0.714565143878602
Basophil_PD-L1_IL18,0.115754249411397
Basophil_CD44_Unstim,0.563550009672941
Basophil_CD44_LPS,0.448783458255733
Basophil_CD44_IL246,0.375967361943535
Basophil_CD44_IL18,0.150733160220719
