Name,Location,HBCU,HSI,Admission_Rate,SAT,Undergraduates,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Full_Time_Faculty,Pell_Grant,Retention_Rate,Federal_Loan,Default_Rate,Proportion_Men,Endowment
California State University-Fresno,Urban,0,1,0.9011,996,23528,17683,7490,9545,0.5606,0.6194,0.8679,0.1857,0.032,0.4052,159.95
California State University-Fullerton,Suburban,0,1,0.6762,1085,40436,17791,7468,10331,0.5047,0.5038,0.8894,0.2553,0.025,0.4184,70.44
California State University-Long Beach,Urban,0,1,0.4212,1133,35933,19846,7961,10271,0.4708,0.5002,0.8889,0.2748,0.024,0.43,79.35
California State University-Los Angeles,Urban,0,1,0.7648,964,24240,15307,7158,10198,0.4487,0.7786,0.8253,0.136,0.036,0.4106,45.49
California State University-Northridge,Urban,0,1,0.6581,1006,36736,19794,6819,10318,0.4663,0.6494,0.8348,0.2617,0.037,0.4473,136.54
California State University-Sacramento,Urban,0,1,0.8309,1033,32212,21576,7837,9824,0.4812,0.5761,0.8412,0.2993,0.039,0.4326,51.22
University of California-Berkeley,Urban,0,0,0.1748,1437,33208,39016,21700,18027,0.6981,0.2077,0.9614,0.2026,0.018,0.4604,2143.76
University of California-Davis,Suburban,0,0,0.4635,1299,33181,35532,24939,15450,0.845,0.3255,0.9301,0.3199,0.015,0.3907,477.81
University of California-Irvine,Urban,0,1,0.2992,1339,32111,34355,21724,16461,0.8278,0.3811,0.944,0.2592,0.014,0.473,483.22
University of California-Riverside,Urban,0,1,0.6578,1200,23848,30561,15212,14331,0.8708,0.4702,0.9096,0.4162,0.023,0.4628,176.55
University of California-San Diego,Urban,0,0,0.3661,1387,32252,33240,22312,16513,0.8578,0.3158,0.9416,0.3186,0.01,0.498,799.39
University of California-Santa Barbara,Suburban,0,1,0.367,1369,25004,36492,14927,16895,0.8804,0.2886,0.9083,0.2855,0.018,0.4488,251.55
University of California-Santa Cruz,Urban,0,1,0.6473,1284,18761,35925,11173,15214,0.7508,0.2692,0.8492,0.3408,0.029,0.5283,110.41
California State Polytechnic University-Humboldt,Small Town,0,1,0.8514,1081,7141,24991,9895,9822,0.5782,0.4945,0.7313,0.5141,0.059,0.4163,31.29
San Diego State University,Urban,0,1,0.367,1207,33077,23367,7661,11169,0.5179,0.2569,0.8888,0.2744,0.022,0.4386,314.4
San Francisco State University,Urban,0,1,0.8409,1030,28789,24513,8297,11037,0.5045,0.4873,0.8229,0.3403,0.043,0.4477,136.48
San Jose State University,Urban,0,1,0.6737,1127,29870,25747,8057,10645,0.448,0.3876,0.8619,0.3209,0.029,0.5026,153.21
Sonoma State University,Suburban,0,1,0.8912,1050,9012,26537,8181,10468,0.5138,0.371,0.7949,0.3651,0.029,0.3735,40.07
Adams State University,Small Town,0,1,0.9988,1004,2374,22317,8574,6348,0.4344,0.5838,0.5929,0.7459,0.056,0.5509,0.06
Colorado School of Mines,Suburban,0,0,0.5497,1372,5411,36107,16922,12364,0.7164,0.1282,0.9187,0.4105,0.007,0.6884,258.78
Colorado State University-Fort Collins,Urban,0,0,0.8352,1199,28641,27513,13703,10425,0.7243,0.2075,0.8499,0.3884,0.026,0.4674,391.86
