ID,Age,Gender,Religiosity,Race,Aware,Cheated,Total_Cheat
P414,9.39452054794521,Girl,17,Other,0,1,5
P415,7.78356164383562,Boy,19,Other,0,1,5
P416,4.77808219178082,Girl,20,White,0,0,2
P417,6.912328767123288,Girl,11,Asian,0,0,2
P418,10.64931506849315,Boy,6,Other,0,0,0
P419,8.13698630136986,Girl,6,Other,0,0,0
P420,8.31780821917808,Girl,17,Asian,0,0,5
P421,5.77534246575342,Boy,1,Other,NA,1,5
P422,10.232876712328768,Girl,17,Asian,NA,0,0
P426,7.25479452054795,Girl,12,Asian,0,0,0
V001,7.583561644,Boy,0,White,NA,0,4
V002,6.452054795,Boy,14,White,NA,1,5
V003,6.419178082,Boy,5,White,NA,0,2
V004,7.019178082,Boy,5,White,NA,0,4
V005,5.295890411,Boy,4,White,NA,1,4
V006,5.652054795,Girl,2,Asian,NA,0,2
V007,4.832876712,Girl,15,White,NA,0,1
V009,4.471232877,Girl,1,Asian,0,1,6
V010,6.723287671,Boy,1,White,NA,0,0
V011,9.569863014,Girl,3,Asian,NA,0,0
V012,7.624657534,Girl,7,Asian,NA,0,0
V013,5.739726027,Girl,18,Asian,NA,1,2
V014,4.906849315,Boy,0,White,0,0,1
V016,6.405479452,Girl,0,White,NA,0,1
V017,7.016438356,Boy,1,White,NA,1,3
V018,9.920547945,Boy,0,White,0,0,0
V019,7.345205479,Boy,8,White,NA,1,6
V020,7.01369863,Boy,4,White,NA,1,6
V021,8.339726027,Girl,12,White,NA,1,6
V023,7.021917808,Girl,7,White,NA,1,2
V024,10.36164384,Boy,7,White,NA,0,0
V025,7.104109589,Boy,10,White,NA,0,0
V026,6.37260274,Girl,20,White,NA,0,0
V027,6.6,Boy,1,White,NA,1,6
V028,5.098630137,Boy,0,White,NA,0,2
V029,6.873972603,Girl,0,White,0,1,3
V032,7.235616438,Girl,0,White,0,0,0
V034,10.85205479,Girl,1,White,0,0,0
V035,7.654794521,Girl,5,White,0,0,1
V036,5.736986301,Girl,0,White,NA,1,5
V037,7.660273973,Girl,0,White,0,1,4
V039,5.402739726,Boy,0,White,0,1,6
V040,7.887671233,Boy,9,Other,NA,0,3
V041,5.484931507,Boy,7,Other,0,1,6
V042,5.523287671,Boy,9,Other,0,1,4
V043,8.263013699,Boy,9,Other,NA,0,1
V044,6.810958904,Girl,4,White,0,0,0
V045,7.002739726,Girl,11,White,0,0,1
V046,7.010958904,Girl,0,White,0,1,3
V047,7.616438356,Boy,0,Other,0,0,1
V048,4.860273973,Girl,18,White,0,1,6
V049,5.309589041,Girl,10,White,0,1,6
V051,6.284931507,Boy,14,Asian,0,0,0
V054,8.049315068,Girl,7,White,0,1,4
V055,5.131506849,Boy,6,White,0,1,5
V056,7.4,Girl,17,White,NA,0,2
V057,8.063013699,Boy,19,Asian,0,1,3
V058,5.939726027,Boy,0,Asian,0,1,3
V059,6.915068493,Boy,2,White,NA,1,5
V060,6.208219178,Boy,2,White,0,1,6
V061,4.794520548,Boy,2,White,0,1,6
V062,7.893150685,Boy,0,White,0,0,0
V063,6.221917808,Girl,18,White,0,1,4
V064,7.931506849,Girl,9,White,0,1,2
V067,6.871232877,Girl,18,Other,0,1,6
V068,9.975342466,Girl,1,White,0,1,1
V069,6.802739726,Boy,1,White,0,1,5
V070,6.608219178,Boy,0,White,0,1,1
V071,6.156164384,Girl,2,White,0,0,2
V072,7.328767123,Girl,1,White,0,0,0
V073,5.120547945,Girl,0,White,0,0,1
V074,8.268493151,Girl,0,White,0,0,1
V075,10,Boy,13,White,0,0,1
V076,10,Boy,13,White,0,1,5
V077,7.345205479,Girl,7,Asian,0,0,0
V078,6.454794521,Girl,3,White,0,1,6
V079,5.298630137,Girl,1,White,0,1,6
V080,6.701369863,Boy,3,White,0,1,1
V083,6.057534247,Boy,0,White,0,1,5
V085,7.235616438,Boy,1,White,0,0,3
V086,4.465753425,Boy,1,White,0,0,3
V087,7.536986301,Girl,3,White,0,1,5
V088,5.698630137,Girl,3,White,0,1,5
V089,7.068493151,Girl,0,White,0,0,1
V090,6.052054795,Girl,0,White,0,1,2
V091,6.117808219,Girl,6,Asian,0,0,3
