PlayerName,Age,Team,Bats,Games,PlateAppearances,Doubles,Triples,IntWalks,SacBunts,SacFlies,HitByPitch,StolenBases,CaughtStealing
Jim Pankovits,30,HOU,R,70,124,6,1,1,0,0,0,1,1
Al Pardo,23,BAL,S,16,51,1,0,0,0,0,0,0,0
Mark Parent,24,SDP,R,8,15,0,0,0,0,0,0,0,0
Kelly Paris,28,BAL,R,5,10,0,0,0,0,0,0,0,1
Dave Parker,35,CIN,L,162,700,31,3,16,0,6,1,1,6
Jeff Parrett,24,MON,R,12,2,0,0,0,0,0,0,0,0
Lance Parrish,30,DET,R,91,374,6,1,3,1,3,5,0,0
Larry Parrish,32,TEX,R,129,524,22,1,7,0,6,2,3,1
Dan Pasqua,24,NYY,L,102,332,17,0,3,1,1,3,2,0
Bob Patterson,27,PIT,R,11,10,0,0,0,2,0,0,0,0
Bill Pecota,26,KCR,R,12,34,2,0,0,0,1,1,0,2
Alejandro Pena,27,LAD,R,24,20,0,0,0,3,0,0,0,0
Bert Pena,26,HOU,R,15,34,1,0,2,0,0,0,1,0
Hipolito Pena,22,PIT,L,10,0,0,0,0,0,0,0,0,0
Tony Pena,29,PIT,R,144,565,26,2,6,0,1,1,9,10
Terry Pendleton,25,STL,S,159,626,26,5,10,6,7,1,24,6
Jack Perconte,31,CHW,L,24,85,1,0,1,1,0,0,2,0
Tony Perez,44,CIN,R,77,228,12,1,2,0,3,0,0,0
